code,ex_date,amount
1301,2001-03-27,30.0
1301,2002-03-26,30.0
1301,2003-03-26,40.0
1301,2004-03-26,40.0
1301,2005-03-28,50.0
1301,2006-03-28,50.0
1301,2007-03-27,60.0
1301,2008-03-26,50.0
1301,2010-03-29,50.0
1301,2011-03-29,50.0
1301,2012-03-28,50.0
1301,2013-03-27,50.0
1301,2014-03-27,50.0
1301,2015-03-27,50.0
1301,2016-03-29,50.0
1301,2017-03-29,60.0
1301,2018-03-28,60.0
1301,2019-03-27,70.0
1301,2020-03-30,70.0
1301,2021-03-30,70.0
1301,2022-03-30,90.0
1301,2023-03-30,100.0
1301,2024-03-28,100.0
1301,2025-03-28,130.0
1301,2026-03-30,150.0
1332,2000-03-28,4.0
1332,2000-09-26,2.0
1332,2001-03-27,3.0
1332,2001-09-25,2.5
1332,2002-03-26,2.5
1332,2002-09-25,2.5
1332,2003-03-26,2.5
1332,2003-09-25,2.5
1332,2004-03-26,2.5
1332,2004-09-27,2.5
1332,2005-03-28,3.5
1332,2005-09-27,3.5
1332,2006-03-28,3.5
1332,2006-09-26,4.0
1332,2007-03-27,5.0
1332,2007-09-25,5.0
1332,2008-03-26,5.0
1332,2008-09-25,5.0
1332,2009-03-26,5.0
1332,2009-09-25,5.0
1332,2010-03-29,5.0
1332,2010-09-28,5.0
1332,2011-03-29,5.0
1332,2011-09-28,5.0
1332,2012-03-28,5.0
1332,2015-03-27,3.0
1332,2015-09-28,2.0
1332,2016-03-29,3.0
1332,2016-09-28,2.5
1332,2017-03-29,3.5
1332,2017-09-27,4.0
1332,2018-03-28,4.0
1332,2018-09-26,4.0
1332,2019-03-27,4.0
1332,2019-09-27,4.0
1332,2020-03-30,4.5
1332,2020-09-29,4.0
1332,2021-03-30,4.5
1332,2021-09-29,6.0
1332,2022-03-30,8.0
1332,2022-09-29,8.0
1332,2023-03-30,10.0
1332,2023-09-28,10.0
1332,2024-03-28,14.0
1332,2024-09-27,12.0
1332,2025-03-28,16.0
1332,2025-09-29,14.0
1332,2026-03-30,18.0
1333,2015-03-27,10.0
1333,2016-03-29,10.0
1333,2017-03-29,15.0
1333,2018-03-28,13.333333
1333,2019-03-27,13.333333
1333,2020-03-30,13.333333
1333,2021-03-30,13.333333
1333,2022-03-30,18.333332
1333,2023-03-30,21.666668
1333,2023-09-28,11.666667
1333,2024-03-28,16.666668
1333,2024-09-27,16.666668
1333,2025-03-28,20.0
1333,2025-09-29,16.666668
1333,2026-03-30,28.0
1375,2020-09-29,14.0
1375,2021-03-30,28.0
1375,2021-09-29,14.0
1375,2022-03-30,16.0
1375,2022-09-29,14.0
1375,2023-03-30,6.0
1375,2023-09-28,1.0
1375,2024-03-28,10.0
1375,2024-09-27,3.0
1375,2025-03-28,12.0
1375,2025-09-29,4.0
1375,2026-03-30,19.0
1377,2001-05-28,8.0
1377,2001-11-27,8.0
1377,2002-05-28,8.0
1377,2002-11-26,8.0
1377,2003-05-27,8.0
1377,2003-11-25,8.0
1377,2004-05-26,8.0
1377,2004-11-25,9.0
1377,2005-05-26,11.0
1377,2005-11-25,10.0
1377,2006-05-26,10.0
1377,2006-11-27,10.0
1377,2007-05-28,10.0
1377,2007-11-27,10.0
1377,2008-05-27,10.0
1377,2008-11-25,5.0
1377,2009-05-26,5.0
1377,2009-11-26,10.0
1377,2010-05-27,10.0
1377,2010-11-26,10.0
1377,2011-05-27,10.0
1377,2011-11-28,10.0
1377,2012-05-29,10.0
1377,2012-11-28,10.0
1377,2013-05-29,15.0
1377,2013-11-27,10.0
1377,2014-05-28,10.0
1377,2014-11-26,10.0
1377,2015-05-27,13.0
1377,2015-11-26,10.0
1377,2016-05-27,15.0
1377,2016-11-28,10.0
1377,2017-05-29,18.0
1377,2017-11-28,10.0
1377,2018-05-29,20.0
1377,2018-11-28,15.0
1377,2019-05-29,18.0
1377,2019-11-28,15.0
1377,2020-05-28,18.0
1377,2020-11-27,15.0
1377,2021-05-28,18.0
1377,2021-11-29,18.0
1377,2022-05-30,27.0
1377,2022-11-29,20.0
1377,2023-05-30,35.0
1377,2023-11-29,25.0
1377,2024-05-30,40.0
1377,2024-11-28,30.0
1377,2025-05-29,45.0
1377,2025-11-27,35.0
1377,2026-05-28,50.0
1379,2001-03-27,20.0
1379,2001-09-25,10.0
1379,2002-03-26,20.0
1379,2002-09-25,10.0
1379,2003-03-26,21.0
1379,2003-09-25,10.0
1379,2004-03-26,25.0
1379,2004-09-27,10.0
1379,2005-03-28,28.0
1379,2005-09-27,10.0
1379,2006-03-28,35.0
1379,2006-09-26,10.0
1379,2007-03-27,38.0
1379,2007-09-25,10.0
1379,2008-03-26,40.0
1379,2008-09-25,10.0
1379,2009-03-26,42.0
1379,2009-09-25,10.0
1379,2010-03-29,45.0
1379,2010-09-28,10.0
1379,2011-03-29,46.0
1379,2011-09-28,10.0
1379,2012-03-28,47.0
1379,2012-09-26,10.0
1379,2013-03-27,47.0
1379,2013-09-26,10.0
1379,2014-03-27,50.0
1379,2014-09-26,10.0
1379,2015-03-27,49.0
1379,2015-09-28,10.0
1379,2016-03-29,50.0
1379,2016-09-28,10.0
1379,2017-03-29,50.0
1379,2017-09-27,10.0
1379,2018-03-28,50.0
1379,2018-09-26,10.0
1379,2019-03-27,50.0
1379,2019-09-27,10.0
1379,2020-03-30,50.0
1379,2020-09-29,10.0
1379,2021-03-30,50.0
1379,2021-09-29,10.0
1379,2022-03-30,50.0
1379,2022-09-29,10.0
1379,2023-03-30,30.0
1379,2023-09-28,10.0
1379,2024-03-28,40.0
1379,2024-09-27,10.0
1379,2025-03-28,40.0
1379,2025-09-29,10.0
1379,2026-03-30,45.0
1414,2008-06-25,0.9375
1414,2009-06-25,2.1875
1414,2009-12-28,0.3125
1414,2010-06-28,2.8125
1414,2010-12-28,2.5
1414,2011-06-28,3.125
1414,2011-12-28,2.5
1414,2012-06-27,3.75
1414,2012-12-26,2.625
1414,2013-06-26,4.25
1414,2013-12-26,2.75
1414,2014-06-26,5.25
